store_name,longitude,latitude,address,zip,telephone
Gigante Meat Market,-71.176013,42.734556,139 Park Street,1841,(978) 682-7777
Gomez Convenience Inc.,-71.174098,42.697751,252 Water Street,1841,(978) 975-0442
Perrotta's Super Drug,-71.154475,42.717183,292 Prospect Street,1841,(978) 682-2557
RRS El Pilon Inc.,-71.169125,42.711405,262 Hampshire Street,1841,(978) 682-0508
