STORE_NAME,longitude,latitude,ADDRESS,ADDRESS2,CITY,STATE,ZIP5,zip4,County
Cumberland Farms 6742,-71.158882,42.689598,320 S Broadway,,Lawrence,MA,1843,2692,ESSEX
Corporation Market,-71.15564,42.71254,136 Newbury St,,Lawrence,MA,1841,3910,ESSEX
Rojas Food Market LLC,-71.172554,42.716045,269 Park St,,Lawrence,MA,1841,2415,ESSEX
Cast-Mart LLC,-71.174004,42.690216,606 Andover St,,Lawrence,MA,1843,1027,ESSEX
"V & V Market, Inc.",-71.153427,42.695377,273 S Union St,,Lawrence,MA,1843,2324,ESSEX
La Economia Market,-71.175591,42.706612,470 Haverhill St,,Lawrence,MA,1841,4327,ESSEX
Quile Market And Restaurant,-71.155556,42.711174,89A Newbury St,,Lawrence,MA,1840,1720,ESSEX
Gomez Meat Market Llc,-71.160324,42.691639,272 S Broadway,,Lawrence,MA,1843,2633,ESSEX
Park Street Convenience,-71.162071,42.716667,75 Park St,,Lawrence,MA,1841,1742,ESSEX
Dollar Tree 6095,-71.162727,42.695835,138 S Broadway,,Lawrence,MA,1843,1428,ESSEX
J&J Mini Market Inc,-71.154961,42.718391,324B Prospect St,,Lawrence,MA,1841,2041,ESSEX
Family Dollar Store 11535,-71.158844,42.689548,320 S Broadway,,Lawrence,MA,1843,2692,ESSEX
Tedeschi's Food Shop 469,-71.17334,42.690102,3 Beacon St,,Lawrence,MA,1843,2008,ESSEX
Tenares Grocery,-71.158478,42.718575,64 Berkeley St,,Lawrence,MA,1841,1807,ESSEX
Shin Shin Oriental Grocery,-71.15274,42.685867,603 S Union St,,Lawrence,MA,1843,3724,ESSEX
El Mercadito Grocery Store,-71.170357,42.714943,49 Walnut St,,Lawrence,MA,1841,3121,ESSEX
Go 1 Dollar 4,-71.149765,42.690166,73 Winthrop Ave,,Lawrence,MA,1843,2836,ESSEX
7-Eleven Store 34405B,-71.18959,42.704838,703 Haverhill St,,Lawrence,MA,1841,4011,ESSEX
Multiple Service Inc,-71.157837,42.71254,119 Jackson St,,Lawrence,MA,1841,3833,ESSEX
"Jan Grocery Store, Inc.",-71.167519,42.717857,76 Bennington St,,Lawrence,MA,1841,2514,ESSEX
Tropical Mini Market Corp,-71.153419,42.698505,121 S Union St,,Lawrence,MA,1843,1643,ESSEX
Lyr Minimarket Inc,-71.149048,42.714581,486 Howard St,,Lawrence,MA,1841,2124,ESSEX
Pescaderia Los Asbestero,-71.174934,42.707218,2 Railroad St,,Lawrence,MA,1841,3340,ESSEX
Cavali Meat Market Inc,-71.1744,42.702168,775 Essex St,,Lawrence,MA,1841,4606,ESSEX
Speedway 2499,-71.177948,42.716885,615 Broadway,,Lawrence,MA,1841,2404,ESSEX
Abreu Market Inc,-71.162537,42.691517,34 Brookfield St,,Lawrence,MA,1843,2559,ESSEX
Jackie's Market LLC,-71.178589,42.717651,651 Broadway,,Lawrence,MA,1841,2402,ESSEX
El Gustaso Supermarket And Restaurant Inc,-71.17215,42.709667,298 Broadway,,Lawrence,MA,1841,3510,ESSEX
Esmy Market,-71.158569,42.697514,110 Parker St,,Lawrence,MA,1843,1536,ESSEX
Broadway Corner Mart,-71.15464,42.68346,501 S Broadway,,Lawrence,MA,1843,3532,ESSEX
Caballo Food Corp/America's Food Basket,-71.151474,42.691254,69 Winthrop Ave,,Lawrence,MA,1843,2818,ESSEX
Fernandez Grocery Inc,-71.168365,42.710781,232 Hampshire St,,Lawrence,MA,1841,3626,ESSEX
Popular Market Store Inc,-71.159355,42.690163,319 S Broadway,,Lawrence,MA,1843,2632,ESSEX
Mt. Vernon Convenience,-71.173424,42.685162,58 Beacon St,,Lawrence,MA,1843,2028,ESSEX
Jamay Inc,-71.173775,42.715973,309 Park St,,Lawrence,MA,1841,2435,ESSEX
Newbury St Supermarket Inc,-71.155556,42.71299,169 Newbury St,,Lawrence,MA,1841,3920,ESSEX
Rd Supermarkert Inc,-71.173569,42.711327,354 Broadway,,Lawrence,MA,1841,3529,ESSEX
Union Supermarket 111,-71.157936,42.719444,304 Jackson St,,Lawrence,MA,1841,1941,ESSEX
La Carniceria Supermarket Corp,-71.153343,42.697594,164 S Union St,,Lawrence,MA,1843,1645,ESSEX
Castillo Food Enterprises Inc,-71.168068,42.718899,271 Lawrence St,,Lawrence,MA,1841,1154,ESSEX
Amable Supermarket 2,-71.1577,42.718159,51A Berkeley St,,Lawrence,MA,1841,1908,ESSEX
Kiu Management Llc,-71.168457,42.707695,100 Franklin St,,Lawrence,MA,1840,1190,ESSEX
Jacqueline Supermarket Corp,-71.163078,42.69714,199 Salem St,,Lawrence,MA,1843,1405,ESSEX
Frias Mini Market,-71.156342,42.694122,180 Boxford St,,Lawrence,MA,1843,2232,ESSEX
La Nena Supermarket,-71.179924,42.703903,64 Milton St,,Lawrence,MA,1841,4561,ESSEX
E Market 2,-71.150185,42.702663,265 Merrimack St,,Lawrence,MA,1843,1700,ESSEX
Villar Supermarket 1,-71.157501,42.707771,165 Essex St,,Lawrence,MA,1840,1605,ESSEX
El Arca Supermarket,-71.172241,42.709766,296 Broadway,,Lawrence,MA,1841,3540,ESSEX
WALGREENS 3337,-71.169273,42.706287,135 Broadway,,Lawrence,MA,1840,1013,ESSEX
Rite Aid 10113,-71.163155,42.707024,365 Essex St,,Lawrence,MA,1840,1213,ESSEX
WALGREENS 04571,-71.161316,42.693123,220 S Broadway,,Lawrence,MA,1843,2121,ESSEX
La Fruiteria Supermarket & Wholesale Inc,-71.179405,42.712307,75 Manchester St,,Lawrence,MA,1841,3018,ESSEX
CVS PHARMACY 952,-71.161957,42.693943,205 S Broadway,,Lawrence,MA,1843,1434,ESSEX
CARNICERIA MARKET,-71.157906,42.711418,88 Jackson St,,Lawrence,MA,1841,3821,ESSEX
Quezada Grocery,-71.176529,42.701767,857 Essex St,,Lawrence,MA,1841,4618,ESSEX
Jimenez Supermarket Inc,-71.155579,42.71199,117 Newbury St,,Lawrence,MA,1841,3918,ESSEX
7-Eleven 37343H,-71.153351,42.69289,390 S Union St,,Lawrence,MA,1843,2810,ESSEX
MARKET BASKET 5,-71.171516,42.703217,700 Essex St,,Lawrence,MA,1841,4396,ESSEX
SAIGON MARKET,-71.153351,42.69487,298 S Union St,,Lawrence,MA,1843,2325,ESSEX
ELVIS'S VARIETY,-71.165863,42.69725,9 Newton St,,Lawrence,MA,1843,1313,ESSEX
