STORE_NAME,longitude,latitude,ADDRESS,ADDRESS2,CITY,STATE,ZIP5,zip4,County
Saigon Market,-71.153351,42.69487,298 S Union St,,Lawrence,MA,1843,2325,ESSEX
Sammy's Market,-71.161789,42.693775,208 S Broadway,,Lawrence,MA,1843,1420,ESSEX
Sams Food Store,-71.174446,42.712528,389 Broadway,,Lawrence,MA,1841,3528,ESSEX
Santiago Market And Flowers,-71.161255,42.707756,293 Essex St,,Lawrence,MA,1840,1522,ESSEX
Sebas Market,-71.168999,42.705784,88 Broadway,,Lawrence,MA,1840,1014,ESSEX
Shin Shin Oriental Grocery,-71.15274,42.685867,603 S Union St,,Lawrence,MA,1843,3724,ESSEX
Speedway 2407,-71.153046,42.689182,500 S Union St,,Lawrence,MA,1843,2812,ESSEX
Speedway 2499,-71.177948,42.716885,615 Broadway,,Lawrence,MA,1841,2404,ESSEX
Tedeschi's Food Shop 469,-71.17334,42.690102,3 Beacon St,,Lawrence,MA,1843,2008,ESSEX
Tony's Convenience,-71.157829,42.695679,191A Parker St,,Lawrence,MA,1843,1526,ESSEX
Tower Hill Mini Mart Inc,-71.181976,42.700645,99 Ames St,,Lawrence,MA,1841,4404,ESSEX
Tropical Mini Market Corp,-71.153419,42.698505,121 S Union St,,Lawrence,MA,1843,1643,ESSEX
Union Supermarket 111,-71.157936,42.719444,304 Jackson St,,Lawrence,MA,1841,1941,ESSEX
Villar Supermarket 1,-71.157501,42.707771,165 Essex St,,Lawrence,MA,1840,1605,ESSEX
Walgreen's 04571,-71.161316,42.693123,220 S Broadway,,Lawrence,MA,1843,2121,ESSEX
